job_id,date,technician_id,job_type,task_category,shift_type,estimated_hours,actual_hours,overrun_factor,staffing_ratio,lateness_minutes,day_of_week
J00252,2025-03-26,T021,avionics fault isolation,non-routine,yellow,2.98,2.08,0.6994,0.734,0.3,Wednesday
J00253,2025-03-26,T015,hydraulic system check,scheduled,green,3.92,3.08,0.7866,0.691,4.0,Wednesday
J00254,2025-03-26,T004,landing gear service,scheduled,yellow,5.04,8.31,1.6508,0.621,4.2,Wednesday
J00255,2025-03-26,T024,landing gear service,scheduled,pink,5.26,2.94,0.56,0.88,3.1,Wednesday
J00256,2025-03-27,T020,avionics fault isolation,non-routine,pink,3.16,4.57,1.4464,0.732,2.7,Thursday
J00257,2025-03-27,T021,A-check inspection,scheduled,pink,5.72,5.64,0.9862,0.836,6.4,Thursday
J00258,2025-03-27,T014,landing gear service,scheduled,grey,4.99,4.76,0.9525,0.874,0.0,Thursday
J00259,2025-03-27,T004,avionics fault isolation,non-routine,pink,2.97,2.91,0.9796,0.802,6.6,Thursday
J00260,2025-03-27,T009,structural inspection,non-routine,pink,7.18,5.76,0.8022,0.743,9.4,Thursday
J00261,2025-03-27,T009,A-check inspection,scheduled,grey,5.85,5.1,0.8709,1.007,2.1,Thursday
J00262,2025-03-28,T007,engine borescope,scheduled,yellow,4.52,3.69,0.8175,0.759,0.0,Friday
J00263,2025-03-28,T012,A-check inspection,scheduled,grey,5.96,5.18,0.8704,0.754,10.2,Friday
J00264,2025-03-28,T021,structural inspection,non-routine,yellow,6.84,9.74,1.4236,0.909,0.0,Friday
J00265,2025-03-28,T009,hydraulic system check,scheduled,yellow,3.26,4.28,1.3122,0.925,0.0,Friday
J00266,2025-03-28,T016,A-check inspection,scheduled,pink,6.03,6.14,1.0181,0.608,1.1,Friday
J00267,2025-03-31,T009,A-check inspection,scheduled,yellow,6.08,5.48,0.9013,0.864,0.0,Monday
J00268,2025-03-31,T005,engine borescope,scheduled,yellow,4.47,3.3,0.7383,0.832,0.8,Monday
J00269,2025-03-31,T017,avionics fault isolation,non-routine,green,2.94,3.25,1.1065,0.911,0.0,Monday
J00270,2025-03-31,T012,wheel and brake change,scheduled,yellow,2.0,1.34,0.6693,1.015,0.0,Monday
J00271,2025-04-01,T015,wheel and brake change,scheduled,pink,2.05,2.49,1.2154,0.869,0.0,Tuesday
J00272,2025-04-01,T009,avionics fault isolation,non-routine,pink,3.1,3.73,1.206,0.794,9.4,Tuesday
J00273,2025-04-01,T014,wheel and brake change,scheduled,green,1.98,1.65,0.8346,0.99,3.3,Tuesday
J00274,2025-04-02,T004,landing gear service,scheduled,green,5.0,4.0,0.7998,1.005,0.0,Wednesday
J00275,2025-04-02,T011,engine borescope,scheduled,pink,4.25,4.1,0.965,0.854,9.3,Wednesday
J00276,2025-04-02,T004,avionics fault isolation,non-routine,yellow,2.96,2.67,0.9049,0.981,5.4,Wednesday
J00277,2025-04-02,T006,A-check inspection,scheduled,pink,6.12,4.0,0.6537,0.732,9.3,Wednesday
J00278,2025-04-02,T025,landing gear service,scheduled,pink,5.26,4.77,0.9072,0.935,6.8,Wednesday
J00279,2025-04-02,T011,wheel and brake change,scheduled,green,2.02,1.96,0.9704,1.005,0.2,Wednesday
J00280,2025-04-03,T024,cabin interior repair,non-routine,pink,2.59,2.6,1.0038,1.071,3.7,Thursday
J00281,2025-04-03,T023,landing gear service,scheduled,yellow,4.73,6.18,1.3049,0.924,0.0,Thursday
J00282,2025-04-03,T009,A-check inspection,scheduled,pink,5.77,5.17,0.8971,0.764,0.0,Thursday
J00283,2025-04-03,T012,engine borescope,scheduled,yellow,4.6,4.34,0.9428,0.846,0.0,Thursday
J00284,2025-04-03,T017,landing gear service,scheduled,pink,5.15,4.05,0.7855,0.884,9.1,Thursday
J00285,2025-04-07,T018,hydraulic system check,scheduled,green,3.68,2.43,0.6595,0.862,0.0,Monday
J00286,2025-04-07,T020,cabin interior repair,non-routine,yellow,2.26,1.73,0.7647,1.035,2.7,Monday
J00287,2025-04-07,T002,wheel and brake change,scheduled,pink,2.09,1.64,0.7836,0.988,0.0,Monday
J00288,2025-04-07,T025,hydraulic system check,scheduled,grey,3.73,3.41,0.9148,0.738,14.0,Monday
J00289,2025-04-07,T005,structural inspection,non-routine,grey,6.72,3.87,0.5757,0.747,6.5,Monday
J00290,2025-04-07,T024,cabin interior repair,non-routine,grey,2.45,1.91,0.7797,0.684,2.2,Monday
J00291,2025-04-07,T004,A-check inspection,scheduled,green,6.02,5.56,0.924,0.929,0.0,Monday
J00292,2025-04-08,T010,avionics fault isolation,non-routine,grey,2.9,2.16,0.7451,0.867,4.8,Tuesday
J00293,2025-04-08,T012,A-check inspection,scheduled,yellow,5.97,5.93,0.9935,0.848,7.0,Tuesday
J00294,2025-04-08,T001,avionics fault isolation,non-routine,green,3.02,3.71,1.2287,1.104,0.0,Tuesday
J00295,2025-04-08,T009,A-check inspection,scheduled,green,6.47,5.37,0.8304,0.959,3.9,Tuesday
J00296,2025-04-08,T010,A-check inspection,scheduled,green,5.92,5.32,0.8988,0.806,1.6,Tuesday
J00297,2025-04-09,T020,structural inspection,non-routine,grey,7.08,7.44,1.0512,1.016,6.4,Wednesday
J00298,2025-04-09,T009,structural inspection,non-routine,grey,6.97,5.93,0.8504,0.836,17.1,Wednesday
J00299,2025-04-10,T010,wheel and brake change,scheduled,pink,1.89,1.25,0.6631,1.043,9.1,Thursday
J00300,2025-04-10,T017,engine borescope,scheduled,grey,4.65,5.03,1.0825,0.899,14.0,Thursday
J00301,2025-04-10,T020,hydraulic system check,scheduled,pink,3.6,3.01,0.8354,0.957,6.1,Thursday
J00302,2025-04-11,T017,landing gear service,scheduled,grey,5.05,4.51,0.8938,0.843,12.5,Friday
J00303,2025-04-11,T008,avionics fault isolation,non-routine,pink,3.02,3.62,1.1988,0.988,3.7,Friday
J00304,2025-04-11,T013,hydraulic system check,scheduled,yellow,3.55,5.2,1.4646,1.011,6.3,Friday
J00305,2025-04-11,T006,landing gear service,scheduled,yellow,4.75,4.16,0.8748,0.979,5.5,Friday
J00306,2025-04-14,T024,hydraulic system check,scheduled,green,3.7,3.85,1.0402,1.2,4.8,Monday
J00307,2025-04-15,T021,hydraulic system check,scheduled,grey,3.67,3.28,0.8929,0.896,8.7,Tuesday
J00308,2025-04-15,T002,avionics fault isolation,non-routine,pink,2.79,2.49,0.8937,0.663,4.7,Tuesday
J00309,2025-04-15,T007,engine borescope,scheduled,grey,4.51,4.6,1.0201,0.641,1.4,Tuesday
J00310,2025-04-15,T006,hydraulic system check,scheduled,pink,3.3,3.15,0.9552,0.919,11.1,Tuesday
J00311,2025-04-15,T020,hydraulic system check,scheduled,grey,3.39,3.75,1.1076,0.956,7.0,Tuesday
J00312,2025-04-15,T008,landing gear service,scheduled,grey,5.2,5.71,1.0975,0.911,9.9,Tuesday
J00313,2025-04-15,T013,wheel and brake change,scheduled,green,2.15,1.8,0.8358,0.931,0.0,Tuesday
J00314,2025-04-16,T023,hydraulic system check,scheduled,grey,3.36,4.34,1.2916,0.925,8.0,Wednesday
J00315,2025-04-16,T005,landing gear service,scheduled,green,5.12,3.96,0.7722,0.869,3.3,Wednesday
J00316,2025-04-16,T008,structural inspection,non-routine,grey,7.27,5.58,0.768,0.967,6.2,Wednesday
J00317,2025-04-17,T020,hydraulic system check,scheduled,yellow,3.69,3.21,0.8718,0.912,14.7,Thursday
J00318,2025-04-17,T002,landing gear service,scheduled,grey,4.8,4.87,1.0135,0.858,7.2,Thursday
J00319,2025-04-17,T024,structural inspection,non-routine,green,6.97,7.46,1.0706,0.86,16.5,Thursday
J00320,2025-04-18,T015,hydraulic system check,scheduled,yellow,3.49,2.74,0.7858,0.988,0.0,Friday
J00321,2025-04-18,T019,wheel and brake change,scheduled,green,2.03,1.86,0.9153,0.803,6.4,Friday
J00322,2025-04-18,T014,landing gear service,scheduled,pink,4.76,5.76,1.2094,1.056,9.2,Friday
J00323,2025-04-18,T007,A-check inspection,scheduled,grey,5.49,4.62,0.8421,0.811,2.9,Friday
J00324,2025-04-21,T001,landing gear service,scheduled,yellow,5.13,8.08,1.5765,0.972,1.1,Monday
J00325,2025-04-21,T025,cabin interior repair,non-routine,green,2.37,2.13,0.8972,0.691,3.1,Monday
J00326,2025-04-21,T007,structural inspection,non-routine,green,7.7,6.37,0.8274,0.966,6.6,Monday
J00327,2025-04-21,T020,avionics fault isolation,non-routine,yellow,3.03,2.84,0.9385,0.677,2.1,Monday
J00328,2025-04-22,T023,avionics fault isolation,non-routine,grey,2.96,3.73,1.2625,0.845,8.2,Tuesday
J00329,2025-04-22,T015,landing gear service,scheduled,grey,5.24,4.58,0.8741,1.055,14.9,Tuesday
J00330,2025-04-22,T021,A-check inspection,scheduled,pink,6.0,4.11,0.6844,0.888,2.8,Tuesday
J00331,2025-04-22,T018,cabin interior repair,non-routine,grey,2.51,2.36,0.9385,0.805,0.5,Tuesday
J00332,2025-04-22,T014,A-check inspection,scheduled,yellow,6.17,7.63,1.2358,1.162,4.4,Tuesday
J00333,2025-04-23,T007,A-check inspection,scheduled,green,5.97,7.71,1.2911,0.792,1.5,Wednesday
J00334,2025-04-23,T007,engine borescope,scheduled,yellow,4.19,3.39,0.809,1.013,5.5,Wednesday
J00335,2025-04-23,T010,cabin interior repair,non-routine,yellow,2.49,2.14,0.8596,1.04,0.0,Wednesday
J00336,2025-04-24,T015,avionics fault isolation,non-routine,yellow,3.08,3.36,1.0904,0.615,0.0,Thursday
J00337,2025-04-24,T015,engine borescope,scheduled,grey,4.68,3.3,0.7046,0.973,4.9,Thursday
J00338,2025-04-24,T022,hydraulic system check,scheduled,grey,3.57,4.02,1.1254,0.769,9.2,Thursday
J00339,2025-04-24,T021,avionics fault isolation,non-routine,green,2.81,1.65,0.5892,1.126,0.3,Thursday
J00340,2025-04-24,T018,structural inspection,non-routine,yellow,7.0,6.7,0.9565,1.033,4.4,Thursday
J00341,2025-04-25,T021,engine borescope,scheduled,yellow,4.77,5.55,1.1637,0.849,8.8,Friday
J00342,2025-04-25,T020,wheel and brake change,scheduled,grey,1.92,1.72,0.8924,0.839,4.5,Friday
J00343,2025-04-25,T008,structural inspection,non-routine,yellow,6.85,9.5,1.3872,0.944,0.5,Friday
J00344,2025-04-25,T010,A-check inspection,scheduled,yellow,6.39,5.77,0.9035,0.931,7.1,Friday
J00345,2025-04-28,T007,hydraulic system check,scheduled,green,3.72,2.17,0.5832,1.037,3.1,Monday
J00346,2025-04-28,T019,A-check inspection,scheduled,pink,5.33,7.39,1.3845,1.076,6.8,Monday
J00347,2025-04-28,T010,structural inspection,non-routine,pink,7.09,6.22,0.8766,0.896,3.5,Monday
J00348,2025-04-28,T018,engine borescope,scheduled,grey,4.69,5.79,1.2342,1.026,10.2,Monday
J00349,2025-04-28,T022,structural inspection,non-routine,grey,6.93,5.96,0.86,0.997,1.2,Monday
J00350,2025-04-28,T017,landing gear service,scheduled,pink,5.38,6.06,1.128,0.99,9.3,Monday
J00351,2025-04-29,T005,wheel and brake change,scheduled,yellow,1.9,2.5,1.3164,0.858,5.4,Tuesday
J00352,2025-04-29,T020,avionics fault isolation,non-routine,pink,3.17,3.49,1.1022,0.853,1.6,Tuesday
J00353,2025-04-29,T020,A-check inspection,scheduled,pink,5.97,3.23,0.5418,1.091,4.2,Tuesday
J00354,2025-04-29,T011,A-check inspection,scheduled,pink,5.79,6.06,1.0464,0.905,5.6,Tuesday
J00355,2025-04-29,T024,cabin interior repair,non-routine,grey,2.44,1.6,0.6567,0.982,2.9,Tuesday
J00356,2025-04-29,T007,engine borescope,scheduled,yellow,4.75,5.12,1.0775,0.895,0.0,Tuesday
J00357,2025-04-30,T004,landing gear service,scheduled,grey,5.15,5.77,1.1209,0.846,10.9,Wednesday
J00358,2025-04-30,T001,avionics fault isolation,non-routine,grey,2.87,2.67,0.9308,0.702,7.5,Wednesday
J00359,2025-04-30,T023,structural inspection,non-routine,yellow,6.68,5.64,0.8433,1.089,0.0,Wednesday
J00360,2025-04-30,T002,wheel and brake change,scheduled,grey,2.14,2.06,0.9635,0.811,2.8,Wednesday
J00361,2025-05-01,T016,engine borescope,scheduled,green,4.97,6.5,1.3066,0.831,2.9,Thursday
J00362,2025-05-01,T006,wheel and brake change,scheduled,pink,2.1,1.71,0.8109,0.778,6.5,Thursday
J00363,2025-05-01,T024,structural inspection,non-routine,yellow,6.41,7.6,1.1855,0.782,4.4,Thursday
J00364,2025-05-01,T018,wheel and brake change,scheduled,grey,2.01,1.96,0.9776,0.969,1.1,Thursday
J00365,2025-05-02,T021,cabin interior repair,non-routine,grey,2.6,2.78,1.0689,0.836,4.0,Friday
J00366,2025-05-02,T013,cabin interior repair,non-routine,grey,2.45,2.16,0.8824,0.911,11.0,Friday
J00367,2025-05-05,T020,engine borescope,scheduled,green,4.47,3.63,0.8134,0.757,0.0,Monday
J00368,2025-05-06,T019,wheel and brake change,scheduled,grey,2.06,1.39,0.6774,0.791,6.2,Tuesday
J00369,2025-05-06,T008,cabin interior repair,non-routine,yellow,2.46,2.42,0.9798,1.118,0.0,Tuesday
J00370,2025-05-06,T025,engine borescope,scheduled,green,4.48,5.13,1.1447,0.886,3.5,Tuesday
J00371,2025-05-06,T011,avionics fault isolation,non-routine,grey,3.03,2.8,0.9239,0.9,10.1,Tuesday
J00372,2025-05-06,T012,hydraulic system check,scheduled,green,3.37,3.43,1.0187,1.031,14.1,Tuesday
J00373,2025-05-07,T025,avionics fault isolation,non-routine,green,3.07,4.08,1.3276,1.046,7.6,Wednesday
J00374,2025-05-07,T019,engine borescope,scheduled,yellow,4.7,7.61,1.6175,0.863,0.0,Wednesday
J00375,2025-05-07,T019,cabin interior repair,non-routine,pink,2.52,3.83,1.524,0.83,6.1,Wednesday
J00376,2025-05-08,T013,avionics fault isolation,non-routine,grey,3.28,2.91,0.8853,0.982,5.6,Thursday
J00377,2025-05-08,T017,avionics fault isolation,non-routine,pink,3.17,3.22,1.0158,0.965,7.2,Thursday
J00378,2025-05-08,T009,structural inspection,non-routine,yellow,7.37,7.84,1.0649,0.796,0.0,Thursday
J00379,2025-05-08,T016,wheel and brake change,scheduled,yellow,2.04,1.77,0.8664,0.862,6.9,Thursday
J00380,2025-05-08,T011,landing gear service,scheduled,pink,4.92,5.92,1.2035,1.142,0.0,Thursday
J00381,2025-05-08,T021,avionics fault isolation,non-routine,green,2.93,2.44,0.8319,0.65,4.9,Thursday
J00382,2025-05-09,T018,hydraulic system check,scheduled,grey,3.34,1.86,0.558,0.924,8.2,Friday
J00383,2025-05-09,T011,avionics fault isolation,non-routine,yellow,3.1,3.23,1.0423,1.077,3.9,Friday
J00384,2025-05-09,T018,cabin interior repair,non-routine,yellow,2.4,2.8,1.1695,0.784,9.3,Friday
J00385,2025-05-09,T003,engine borescope,scheduled,yellow,4.48,5.92,1.3212,0.941,5.3,Friday
J00386,2025-05-09,T016,structural inspection,non-routine,grey,7.49,5.46,0.7285,0.937,9.1,Friday
J00387,2025-05-09,T016,wheel and brake change,scheduled,pink,2.07,2.34,1.1289,0.707,1.9,Friday
J00388,2025-05-09,T018,engine borescope,scheduled,green,4.07,4.8,1.1796,1.025,0.3,Friday
J00389,2025-05-12,T017,A-check inspection,scheduled,yellow,5.5,5.27,0.9588,0.999,0.0,Monday
J00390,2025-05-12,T007,landing gear service,scheduled,green,4.83,4.02,0.8314,0.899,7.7,Monday
J00391,2025-05-12,T003,cabin interior repair,non-routine,pink,2.41,2.23,0.9237,1.084,7.1,Monday
J00392,2025-05-12,T006,cabin interior repair,non-routine,green,2.67,2.26,0.8474,1.076,0.0,Monday
J00393,2025-05-12,T013,hydraulic system check,scheduled,pink,3.49,4.32,1.2374,0.901,11.7,Monday
J00394,2025-05-13,T024,wheel and brake change,scheduled,grey,1.94,1.54,0.7931,0.971,5.6,Tuesday
J00395,2025-05-14,T018,cabin interior repair,non-routine,grey,2.37,1.68,0.7083,0.672,12.4,Wednesday
J00396,2025-05-14,T007,avionics fault isolation,non-routine,yellow,2.91,2.84,0.976,0.932,0.0,Wednesday
J00397,2025-05-14,T012,structural inspection,non-routine,green,6.75,6.76,1.0004,0.858,0.0,Wednesday
J00398,2025-05-14,T013,avionics fault isolation,non-routine,pink,2.94,2.41,0.8213,0.867,5.9,Wednesday
J00399,2025-05-15,T018,hydraulic system check,scheduled,green,3.59,3.88,1.081,0.687,5.3,Thursday
J00400,2025-05-15,T014,engine borescope,scheduled,grey,4.72,5.41,1.1457,0.817,0.0,Thursday
J00401,2025-05-15,T017,landing gear service,scheduled,grey,5.32,4.13,0.7764,0.671,0.0,Thursday
J00402,2025-05-15,T001,hydraulic system check,scheduled,grey,3.44,3.86,1.1222,1.068,10.8,Thursday
J00403,2025-05-16,T020,A-check inspection,scheduled,yellow,6.06,2.97,0.4898,0.879,5.0,Friday
J00404,2025-05-16,T006,avionics fault isolation,non-routine,pink,2.98,2.36,0.7919,0.894,9.5,Friday
J00405,2025-05-16,T002,avionics fault isolation,non-routine,yellow,3.01,3.24,1.0764,0.914,3.8,Friday
J00406,2025-05-16,T016,structural inspection,non-routine,pink,7.06,6.32,0.8944,1.055,0.0,Friday
J00407,2025-05-19,T025,cabin interior repair,non-routine,pink,2.72,2.25,0.8286,0.845,5.9,Monday
J00408,2025-05-19,T010,hydraulic system check,scheduled,yellow,3.46,2.51,0.7259,1.195,10.0,Monday
J00409,2025-05-19,T016,hydraulic system check,scheduled,yellow,3.19,3.45,1.0822,1.022,8.8,Monday
J00410,2025-05-19,T020,wheel and brake change,scheduled,pink,1.98,1.75,0.8844,0.99,8.0,Monday
J00411,2025-05-19,T015,hydraulic system check,scheduled,yellow,3.69,3.91,1.0605,0.756,6.2,Monday
J00412,2025-05-20,T019,engine borescope,scheduled,pink,4.34,5.62,1.2928,0.681,14.8,Tuesday
J00413,2025-05-20,T003,landing gear service,scheduled,pink,5.14,4.97,0.9663,0.871,5.2,Tuesday
J00414,2025-05-20,T015,hydraulic system check,scheduled,green,3.6,2.82,0.7831,0.844,5.3,Tuesday
J00415,2025-05-20,T011,engine borescope,scheduled,grey,4.61,5.08,1.1008,1.028,7.9,Tuesday
J00416,2025-05-20,T018,cabin interior repair,non-routine,green,2.49,2.9,1.1617,0.831,0.8,Tuesday
J00417,2025-05-21,T013,A-check inspection,scheduled,green,6.29,5.1,0.8101,1.005,0.0,Wednesday
J00418,2025-05-21,T003,engine borescope,scheduled,pink,4.89,3.77,0.7705,0.67,7.4,Wednesday
J00419,2025-05-21,T020,engine borescope,scheduled,pink,4.41,3.71,0.8422,0.836,6.0,Wednesday
J00420,2025-05-21,T012,engine borescope,scheduled,pink,4.68,3.49,0.7456,0.99,10.2,Wednesday
J00421,2025-05-21,T007,A-check inspection,scheduled,green,5.69,8.26,1.4515,0.901,2.4,Wednesday
J00422,2025-05-21,T021,hydraulic system check,scheduled,yellow,3.21,3.67,1.1423,1.199,0.0,Wednesday
J00423,2025-05-21,T017,engine borescope,scheduled,grey,4.61,4.92,1.0669,0.887,8.8,Wednesday
J00424,2025-05-21,T022,landing gear service,scheduled,grey,5.02,4.9,0.976,0.88,11.5,Wednesday
J00425,2025-05-22,T025,engine borescope,scheduled,grey,4.81,6.27,1.3033,0.929,1.9,Thursday
J00426,2025-05-22,T024,hydraulic system check,scheduled,pink,3.52,2.31,0.6571,0.859,1.6,Thursday
J00427,2025-05-22,T018,cabin interior repair,non-routine,green,2.88,2.68,0.9295,0.77,0.0,Thursday
J00428,2025-05-22,T001,wheel and brake change,scheduled,yellow,2.01,1.74,0.867,0.969,0.0,Thursday
J00429,2025-05-22,T004,A-check inspection,scheduled,grey,6.04,5.65,0.9363,0.631,0.0,Thursday
J00430,2025-05-22,T004,wheel and brake change,scheduled,pink,2.04,2.69,1.321,0.937,10.5,Thursday
J00431,2025-05-23,T017,wheel and brake change,scheduled,grey,1.92,1.68,0.8764,0.951,5.5,Friday
J00432,2025-05-23,T015,cabin interior repair,non-routine,grey,2.35,1.96,0.8338,1.017,6.4,Friday
J00433,2025-05-23,T023,avionics fault isolation,non-routine,grey,2.79,2.78,0.9962,1.023,3.3,Friday
J00434,2025-05-23,T019,avionics fault isolation,non-routine,pink,3.17,3.85,1.2151,0.902,0.0,Friday
J00435,2025-05-26,T018,hydraulic system check,scheduled,pink,3.32,2.86,0.8601,1.009,2.4,Monday
J00436,2025-05-26,T012,engine borescope,scheduled,yellow,4.35,5.37,1.2324,0.819,7.5,Monday
J00437,2025-05-26,T007,hydraulic system check,scheduled,pink,3.45,4.32,1.2543,0.81,10.3,Monday
J00438,2025-05-26,T003,hydraulic system check,scheduled,grey,3.37,4.8,1.4259,0.571,0.0,Monday
J00439,2025-05-26,T002,structural inspection,non-routine,yellow,7.57,6.27,0.8275,1.052,3.1,Monday
J00440,2025-05-27,T010,hydraulic system check,scheduled,green,3.45,2.37,0.6877,0.598,0.0,Tuesday
J00441,2025-05-27,T012,avionics fault isolation,non-routine,green,3.03,3.15,1.0401,1.134,0.0,Tuesday
J00442,2025-05-27,T020,landing gear service,scheduled,grey,4.82,6.53,1.3555,0.903,0.0,Tuesday
J00443,2025-05-27,T013,cabin interior repair,non-routine,yellow,2.5,2.42,0.9713,1.023,2.7,Tuesday
J00444,2025-05-27,T002,engine borescope,scheduled,grey,4.53,3.71,0.8185,0.938,2.1,Tuesday
J00445,2025-05-27,T003,wheel and brake change,scheduled,grey,1.99,2.24,1.1239,1.085,5.0,Tuesday
J00446,2025-05-28,T021,hydraulic system check,scheduled,green,3.74,3.37,0.8999,0.977,11.1,Wednesday
J00447,2025-05-28,T002,avionics fault isolation,non-routine,pink,2.89,2.91,1.0075,0.755,17.7,Wednesday
J00448,2025-05-28,T006,avionics fault isolation,non-routine,pink,3.19,1.81,0.5672,0.983,15.8,Wednesday
J00449,2025-05-28,T009,wheel and brake change,scheduled,yellow,1.8,2.05,1.1393,1.027,1.6,Wednesday
J00450,2025-05-29,T025,wheel and brake change,scheduled,pink,1.94,1.12,0.5774,1.027,7.9,Thursday
J00451,2025-05-29,T009,wheel and brake change,scheduled,pink,2.04,1.95,0.954,0.809,5.1,Thursday
J00452,2025-05-29,T019,wheel and brake change,scheduled,grey,1.86,1.91,1.0232,0.799,7.4,Thursday
J00453,2025-05-29,T023,cabin interior repair,non-routine,yellow,2.54,2.86,1.1238,1.031,5.4,Thursday
J00454,2025-05-30,T024,structural inspection,non-routine,yellow,7.07,7.42,1.0497,0.855,5.4,Friday
J00455,2025-05-30,T011,avionics fault isolation,non-routine,grey,3.15,3.24,1.0287,0.788,1.5,Friday
J00456,2025-05-30,T012,hydraulic system check,scheduled,yellow,3.3,2.94,0.8913,0.847,0.6,Friday
J00457,2025-05-30,T016,A-check inspection,scheduled,green,6.06,4.89,0.8066,1.197,3.9,Friday
J00458,2025-05-30,T018,A-check inspection,scheduled,green,6.08,4.5,0.7401,0.952,13.4,Friday
J00459,2025-06-02,T024,hydraulic system check,scheduled,green,3.68,3.49,0.9483,0.844,0.0,Monday
J00460,2025-06-02,T004,structural inspection,non-routine,pink,6.84,6.08,0.89,0.989,0.2,Monday
J00461,2025-06-02,T008,engine borescope,scheduled,pink,4.78,3.87,0.8102,0.82,10.7,Monday
J00462,2025-06-02,T013,hydraulic system check,scheduled,pink,3.3,4.83,1.4631,1.059,2.7,Monday
J00463,2025-06-02,T005,wheel and brake change,scheduled,green,1.95,1.43,0.7333,0.994,8.3,Monday
J00464,2025-06-02,T013,A-check inspection,scheduled,yellow,6.23,5.0,0.8034,0.916,0.0,Monday
J00465,2025-06-03,T002,cabin interior repair,non-routine,pink,2.54,2.16,0.8534,0.99,2.7,Tuesday
J00466,2025-06-04,T022,hydraulic system check,scheduled,pink,3.6,2.74,0.7621,0.895,8.1,Wednesday
J00467,2025-06-04,T009,cabin interior repair,non-routine,yellow,2.42,2.05,0.8472,0.906,0.0,Wednesday
J00468,2025-06-04,T008,wheel and brake change,scheduled,pink,2.13,2.97,1.3985,1.028,8.7,Wednesday
J00469,2025-06-04,T001,engine borescope,scheduled,grey,4.32,3.87,0.8945,0.873,7.3,Wednesday
J00470,2025-06-04,T009,structural inspection,non-routine,green,7.29,7.09,0.9727,0.886,11.9,Wednesday
J00471,2025-06-05,T007,A-check inspection,scheduled,pink,5.56,6.0,1.0779,0.816,5.7,Thursday
J00472,2025-06-05,T005,engine borescope,scheduled,green,4.65,2.83,0.6083,0.823,4.7,Thursday
J00473,2025-06-05,T013,wheel and brake change,scheduled,grey,1.88,2.24,1.191,1.028,9.4,Thursday
J00474,2025-06-05,T017,hydraulic system check,scheduled,grey,3.64,3.83,1.0544,0.689,10.3,Thursday
J00475,2025-06-05,T007,landing gear service,scheduled,yellow,4.75,5.21,1.096,0.72,0.0,Thursday
J00476,2025-06-06,T009,engine borescope,scheduled,yellow,4.34,3.07,0.7081,0.857,0.0,Friday
J00477,2025-06-09,T025,cabin interior repair,non-routine,yellow,2.45,2.05,0.8358,0.831,8.8,Monday
J00478,2025-06-09,T019,engine borescope,scheduled,green,4.6,5.22,1.1365,0.859,5.4,Monday
J00479,2025-06-09,T022,A-check inspection,scheduled,pink,6.01,4.21,0.701,0.893,9.5,Monday
J00480,2025-06-09,T023,engine borescope,scheduled,green,4.6,8.31,1.8044,0.742,9.0,Monday
J00481,2025-06-09,T017,landing gear service,scheduled,pink,5.02,5.13,1.0223,0.701,0.0,Monday
J00482,2025-06-10,T014,wheel and brake change,scheduled,pink,1.96,2.51,1.2819,1.081,0.6,Tuesday
J00483,2025-06-10,T024,wheel and brake change,scheduled,yellow,2.11,1.56,0.7392,0.989,7.5,Tuesday
J00484,2025-06-10,T009,structural inspection,non-routine,pink,6.7,6.83,1.0199,0.931,7.3,Tuesday
J00485,2025-06-10,T025,cabin interior repair,non-routine,pink,2.33,2.66,1.1402,1.005,6.9,Tuesday
J00486,2025-06-10,T014,wheel and brake change,scheduled,yellow,1.86,2.11,1.1337,1.016,1.1,Tuesday
J00487,2025-06-11,T022,avionics fault isolation,non-routine,grey,3.24,1.58,0.4883,0.841,8.0,Wednesday
J00488,2025-06-11,T014,cabin interior repair,non-routine,yellow,2.46,2.54,1.0338,0.802,8.4,Wednesday
J00489,2025-06-11,T020,landing gear service,scheduled,grey,4.52,2.74,0.6063,0.764,10.8,Wednesday
J00490,2025-06-11,T006,avionics fault isolation,non-routine,green,2.94,2.06,0.6997,1.109,6.8,Wednesday
J00491,2025-06-12,T004,avionics fault isolation,non-routine,yellow,2.97,3.5,1.1787,0.933,0.5,Thursday
J00492,2025-06-12,T018,hydraulic system check,scheduled,pink,3.61,2.67,0.7386,0.953,5.7,Thursday
J00493,2025-06-12,T018,A-check inspection,scheduled,yellow,6.62,11.29,1.706,1.013,7.9,Thursday
J00494,2025-06-12,T022,landing gear service,scheduled,grey,5.12,3.96,0.7729,0.984,1.0,Thursday
J00495,2025-06-13,T014,wheel and brake change,scheduled,yellow,1.93,1.42,0.7342,1.036,6.9,Friday
J00496,2025-06-13,T016,A-check inspection,scheduled,yellow,6.05,5.47,0.9037,0.993,7.6,Friday
J00497,2025-06-13,T011,wheel and brake change,scheduled,pink,1.93,2.07,1.07,0.869,6.1,Friday
J00498,2025-06-13,T001,cabin interior repair,non-routine,pink,2.45,2.41,0.9824,0.907,4.6,Friday
J00499,2025-06-16,T010,structural inspection,non-routine,green,6.49,5.73,0.8835,0.872,4.3,Monday
J00500,2025-06-16,T017,avionics fault isolation,non-routine,yellow,2.86,3.34,1.1684,0.908,5.1,Monday
J00501,2025-06-16,T008,hydraulic system check,scheduled,pink,3.03,2.33,0.7693,0.825,3.4,Monday
J00502,2025-06-16,T001,landing gear service,scheduled,green,4.99,3.97,0.7959,0.629,4.1,Monday
